ship_city,ship_state,ship_postal_code,location_id
MUMBAI,MAHARASHTRA,400081.0,1
BENGALURU,KARNATAKA,560085.0,2
NAVI MUMBAI,MAHARASHTRA,410210.0,3
PUDUCHERRY,PUDUCHERRY,605008.0,4
CHENNAI,TAMIL NADU,600073.0,5
GHAZIABAD,UTTAR PRADESH,201102.0,6
CHANDIGARH,CHANDIGARH,160036.0,7
HYDERABAD,TELANGANA,500032.0,8
HYDERABAD,TELANGANA,500008.0,9
Chennai,TAMIL NADU,600041.0,10
NOIDA,UTTAR PRADESH,201303.0,11
Amravati.,MAHARASHTRA,444606.0,12
MUMBAI,MAHARASHTRA,400053.0,13
GUNTAKAL,ANDHRA PRADESH,515801.0,14
JAIPUR,RAJASTHAN,302020.0,15
NEW DELHI,DELHI,110074.0,16
Gurgaon,HARYANA,122004.0,17
BENGALURU,KARNATAKA,560017.0,18
TIRUCHIRAPPALLI,TAMIL NADU,620018.0,19
BENGALURU,KARNATAKA,560040.0,20
HYDERABAD,TELANGANA,500072.0,21
pune,MAHARASHTRA,411044.0,22
TEZPUR,ASSAM,784001.0,23
RANCHI,JHARKHAND,834002.0,24
BILASPUR,CHHATTISGARH,495001.0,25
PUNE,MAHARASHTRA,411052.0,26
BENGALURU,KARNATAKA,560037.0,27
GUWAHATI,ASSAM,781003.0,28
THIRUVARUR,TAMIL NADU,613704.0,29
LUCKNOW,UTTAR PRADESH,226010.0,30
VISAKHAPATNAM,ANDHRA PRADESH,530016.0,31
JEYPUR,ODISHA,764001.0,32
HYDERABAD,TELANGANA,500028.0,33
LUCKNOW,UTTAR PRADESH,226016.0,34
CHENNAI,TAMIL NADU,600033.0,35
NEW DELHI,DELHI,110092.0,36
THIRUVANANTHAPURAM,KERALA,695011.0,37
GREATER NOIDA,UTTAR PRADESH,201306.0,38
JABALPUR,MADHYA PRADESH,482002.0,39
MUMBAI,MAHARASHTRA,400092.0,40
LUCKNOW,UTTAR PRADESH,226017.0,41
MUMBAI,MAHARASHTRA,400076.0,42
KOLKATA,WEST BENGAL,700014.0,43
ONGOLE,ANDHRA PRADESH,523001.0,44
SECUNDERABAD,TELANGANA,500017.0,45
HYDERABAD,TELANGANA,500062.0,46
KEWALPUR,UTTAR PRADESH,271881.0,47
CUTTACK,ODISHA,753012.0,48
BADLAPUR,MAHARASHTRA,421503.0,49
dimapur,NAGALAND,797112.0,50
BENGALURU,KARNATAKA,560047.0,51
BENGALURU,KARNATAKA,560076.0,52
WARANGAL,TELANGANA,506001.0,53
DHAULPUR,RAJASTHAN,328024.0,54
GUWAHATI,ASSAM,781029.0,55
Bengaluru,KARNATAKA,560103.0,56
BENGALURU,KARNATAKA,560023.0,57
NAGPUR,MAHARASHTRA,440022.0,58
THANE,MAHARASHTRA,400607.0,59
Dahod,Gujarat,389151.0,60
RANCHI,JHARKHAND,834004.0,61
PUNE,MAHARASHTRA,411014.0,62
VIJAPURA,KARNATAKA,586201.0,63
CHENNAI,TAMIL NADU,600041.0,64
MUMBAI,MAHARASHTRA,400080.0,65
bangalore,KARNATAKA,560001.0,66
BENGALURU,KARNATAKA,560098.0,67
BERHAMPUR,ODISHA,760002.0,68
HYDERABAD,TELANGANA,500085.0,69
PUNE,MAHARASHTRA,411045.0,70
HIMMATNAGAR,Gujarat,383001.0,71
Kolkata,WEST BENGAL,700048.0,72
HYDERABAD,TELANGANA,502032.0,73
DEHRADUN,UTTARAKHAND,248001.0,74
KOLKATA,WEST BENGAL,700078.0,75
DHARMAPURI,TAMIL NADU,636705.0,76
DEHRADUN,UTTARAKHAND,248005.0,77
JAIPUR,RAJASTHAN,303905.0,78
VADODARA,Gujarat,390019.0,79
CHAVAKKAD,KERALA,680506.0,80
PATNA,BIHAR,800026.0,81
