style,sku,category,size,asin,product_id
SET389,SET389-KR-NP-S,Set,S,B09KXVBD7Z,1
JNE3781,JNE3781-KR-XXXL,kurta,3XL,B09K3WFS32,2
JNE3371,JNE3371-KR-XL,kurta,XL,B07WV4JV4D,3
J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,4
JNE3671,JNE3671-TU-XXXL,Top,3XL,B098714BZP,5
SET264,SET264-KR-NP-XL,Set,XL,B08YN7XDSG,6
J0095,J0095-SET-L,Set,L,B08CMHNWBN,7
JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,8
SET200,SET200-KR-NP-A-XXXL,Set,3XL,B08L91ZZXN,9
JNE3461,JNE3461-KR-XXL,kurta,XXL,B08B3XF5MH,10
JNE3160,JNE3160-KR-G-S,kurta,S,B07K3YQLF1,11
JNE3500,JNE3500-KR-XS,kurta,XS,B098117DJ3,12
JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,13
SET182,SET182-KR-DH-XS,Set,XS,B085HS947T,14
J0351,J0351-SET-L,Set,L,B09CSSQY4F,15
PJNE3368,PJNE3368-KR-6XL,kurta,6XL,B09PY99SVJ,16
JNE3721,JNE3721-KR-XXL,kurta,XXL,B099FCT65D,17
JNE3405,JNE3405-KR-XL,kurta,XL,B081WT6GG7,18
JNE3697,JNE3697-KR-XXL,kurta,XXL,B098133PV5,19
SET254,SET254-KR-NP-XS,Set,XS,B0983DDPL6,20
JNE3795,JNE3795-KR-XXXL,kurta,3XL,B09HMXJVFS,21
SET345,SET345-KR-NP-M,Set,M,B09KXV4BN8,22
JNE3373,JNE3373-KR-L,kurta,L,B082W7GVH7,23
SET291,SET291-KR-PP-M,Set,M,B099NK55YG,24
MEN5002,MEN5002-KR-L,kurta,L,B08YYYDN9R,25
NW030,NW030-TP-PJ-XS,Set,XS,B09G2RQSRZ,26
JNE3415,JNE3415-KR-XXXL,kurta,3XL,B082W8JXJ9,27
PJNE2199,PJNE2199-KR-N-4XL,kurta,4XL,B09LD2W9XL,28
JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,29
JNE2132,JNE2132-KR-398-XXXL,kurta,3XL,B07JG3CND8,30
J0341,J0341-DR-S,Western Dress,S,B099NR7612,31
MEN5009,MEN5009-KR-XL,kurta,XL,B08YYTCPYX,32
J0011,J0011-LCD-M,Set,M,B08B3YNJG5,33
JNE3766,JNE3766-KR-M,kurta,M,B09K3XR43V,34
JNE3373,JNE3373-KR-XL,kurta,XL,B082W8BXW1,35
MEN5001,MEN5001-KR-XL,kurta,XL,B08YYRH2Q6,36
SET345,SET345-KR-NP-L,Set,L,B09KXT4VG7,37
JNE3787,JNE3787-KR-S,kurta,S,B09RKBXM5B,38
JNE3543,JNE3543-KR-S,kurta,S,B08HHJP41L,39
JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,40
J0211,J0211-DR-XXL,Ethnic Dress,XXL,B09831VWD9,41
J0401,J0401-DR-XXXL,Western Dress,3XL,B09SDXZBGX,42
JNE2153,JNE2153-KR-278-A-M,kurta,M,B0794YR85H,43
SET360,SET360-KR-NP-M,Set,M,B09QJM1D7F,44
SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,45
SET183,SET183-KR-DH-S,Set,S,B08B3Z38TJ,46
J0230,J0230-SKD-L,Set,L,B08XNDL1DL,47
JNE3744,JNE3744-TU-S,Top,S,B0986ZHR9D,48
JNE3510,JNE3510-KR-S,kurta,S,B08WPTJBBD,49
JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,50
J0186,J0186-SET-S,Set,S,B091Z81MLX,51
J0003,J0003-SET-M,Set,M,B0894XH3LN,52
SET282,SET282-KR-PP-M,Set,M,B09CTCDDQ4,53
